Name,RewardRate,Category,Amex,MasterCard,Visa,Description
Happysweeds,3.3000000000,Clothes/Fashion,inactive,active,inactive,"Earn 330 points pr. 100 kr. spent when paying with a linked Visa or Mastercard at www.happysweeds.com.<br><br>Happysweeds offers unique umbrellas inspired by travellers. What once began through travels on a grey day, has led and further evolved into a concept of designs that put a smile on your face. No matter where in the world you may be, we strive to continue with that through our life journey, as a traveling family one day at a time. The stories behind each design, are often more than what meets the eye, and our goal is to share it with the world.<br><br>Hope you like it."
Showfabriken,2.0000000000,Other,inactive,active,active,"Rental of all electronic equipment from sound, lights, screens and more."
CoalaLife.com,2.0000000000,Health/Wellness,inactive,inactive,inactive,"Follow your heart with Coala<br/><br/>Many heart diseases are difficult to detect or are diagnosed too late. Too many people today suffer from heart disease without knowing it. Without the right treatment, you run twice the risk of premature death.<br/><br/>Coala is a unique Swedish innovation for daily monitoring of your heart. A solution to aid the early detection of heart diseases such as atrial fibrillation, and with direct connection to caregivers. A service open for everyone based on many years of research and development in Sweden.<br/><br/>Use Coala as part of your everyday life. Hang it around your neck, keep it in your handbag or just keep it on your night stand. Your heart deserves to be checked every day. There are no electrodes to stick on, nothing that requires surgery, just smart technology for your health security.<br/><br/>Please type in your 9-digits EuroBonus number (EB XXXXXXXXX) under ""KUNDKOD"" when ordering your Coala product."
Pappa Grappa Norrköping,1.5000000000,Restaurant/Bar/Café,active,active,active,At Pappa Grappa you can treat yourself to delicious Italian dishes and delicacies made from fresh ingredients and with lots of love for the Italian kitchen.
Pappa Grappa Linköping,1.5000000000,Restaurant/Bar/Café,active,active,active,At Pappa Grappa you can treat yourself to delicious Italian dishes and delicacies made from fresh ingredients and with lots of love for the Italian kitchen.
Stortorgskällaren,1.5000000000,Restaurant/Bar/Café,active,active,active,"Welcome to Stortorgskällaren, where we serve classic dishes with a personal touch. Modern and traditional all at once. Everything is prepared with genuine love, and always with the absolute best ingredients. We also focus on organic and locally sourced foods.<br/><br/>Stortorgskällaren is located on the southern side of Stortorget, just a stone’s throw from Storkyrkan (Stockholm Cathedral). Native Stockholmers and tourists from afar have been enjoying the food and pleasant atmosphere here at Stortorgskällaren since 1938. But restaurants and inns have surrounded Stortorget since the 15th century. In all likelihood, our cellar was the location of the famous Spanish Grape wine cellar in the era of John III. And they say the king could often be seen at these tables, enjoying a jug of wine in the torch-lit glow.<br/><br/>This building is also where Carl Adolph Grevesmuhl ran a furniture store and workshop in the 18th century. The company was so popular that Gustav III himself placed large orders for handcrafted furniture when it was time to furnish the palace. Grevesmuhl also had the cannonball walled in at the corner of Stortorget and Skomakargatan."
The Algorithms of life journal,1.0000000000,Other,inactive,active,inactive,"Earn 100 points pr. 100 kr. when ordering The Algorithms of life journal on www.dailygarboos.com and paying with a linked Visa or Mastercard.<br /><br />Elevate your life with The Algorithms of Life Guided Journal, designed to help you make it attractive and attainable to get the benefits of journaling on your personal and professional life.<br><br>With simple yet powerful practices that is doable daily to make it effortless to stay accountable and transforms your routine into a profound practice that cultivates mental and physical well-being, reduces stress, and enhances focus."
Lassie,1.0000000000,Other,inactive,inactive,inactive,"LASSIE – THE PET INSURANCE THAT GIVES YOU 100 POINTS / 100 SEK<br><br>Insure your dog or cat with Lassie and earn 100 points for every 100 SEK spent during the first year. Lassie is Sweden’s first preventive pet insurance and is there for you and your pet both before and after an injury occurs.<br><br>If your insurance, for example, costs 150 SEK per month, you’ll receive 150 points each month when you pay for your insurance. Make sure to enter your EuroBonus number when signing up for the insurance.

To earn EuroBonus Bonus Points, simply type your membership number in the EuroBonus field during registration. EuroBonus points are earnt during the first 12 months of insuring your pet with Lassie."
Miiwa,1.0000000000,Other,inactive,inactive,inactive,"At Miiwa, time is of the essence! We offer group and one-on-one classes in Microsoft like Outlook, Teams, OneNote, OneDrive and SharePoint to make your workplace more efficient and structured.<br><br>We believe that you, like us, enjoy being organized and would like to use your time on things of value. You might want to get your inbox organised, your meetings more efficient or be generally smooth as a ninja when it comes to working on your favorite Microsoft programs. Either way, over the years of practice, we've developed tons of smart approaches that will give you more time and enable you to do more in less time. So much so that you free up an hour a day for more important things. This is what we call Work smarter!"
Edward & Partners,1.0000000000,Other,inactive,inactive,inactive,"We at Edward & Partners have opted out of ready-made package solutions to work with quality and knowledge where every housing business is built from the ground up. We always start from the project's unique conditions and tailor to today's market and your specific wishes. We carefully review everything from styling and sales strategy to marketing and pricing. Nothing is left to chance.<br><br>We are not afraid to roll up our sleeves and do that little extra. Maybe we discover that the object would be lifted by us repainting a wall or that we take in the sharpest stylists, maybe we simply have to renovate larger parts of the home.<br><br>At our disposal is a team of hand-picked top brokers who together have been entrusted to mediate thousands of wonderful homes. Including some of the most attractive and unique objects in Stockholm and the surrounding area.<br><br>Welcome to a more personal broker when you are selling, buying or building a new one."
